MaxHumans, MaxChairs, Average_FPS
4, 4, 730.6743
4, 4, 727.9754
4, 4, 712.8456
4, 4, 730.4702
8, 4, 719.8662
8, 4, 725.5898
8, 4, 723.5137
8, 4, 723.4749
16, 4, 703.8601
16, 4, 693.9637
16, 4, 700.9121
16, 4, 702.9969
32, 4, 645.175
32, 4, 657.2715
32, 4, 625.3929
32, 4, 649.9482
64, 4, 535.4203
64, 4, 545.4075
64, 4, 536.2894
64, 4, 561.7106
128, 4, 362.4271
128, 4, 351.174
128, 4, 360.9964
128, 4, 362.7836
256, 4, 202.8449
256, 4, 194.3264
256, 4, 190.7765
256, 4, 169.9868
4, 8, 717.2194
4, 8, 717.45
4, 8, 707.0139
4, 8, 715.9702
4, 16, 689.5493
4, 16, 690.5536
4, 16, 693.9954
4, 16, 622.1041
4, 32, 657.5197
4, 32, 663.5833
4, 32, 661.3187
4, 32, 666.4429
4, 64, 595.7697
4, 64, 588.6365
4, 64, 606.2195
4, 64, 544.3735
4, 128, 454.5884
4, 128, 486.0782
4, 128, 504.161
4, 128, 410.1877
4, 256, 282.9438
4, 256, 372.2158
4, 256, 284.7355
4, 256, 353.0515
