MaxHumans, MaxChairs, TimeToFindGoal
4, 4, 8.240102
4, 4, 18.8005
4, 4, 22.28069
4, 4, 7.001129
4, 4, 11.58085
4, 4, 26.66049
4, 4, 7.46069
8, 4, 6.2201
8, 4, 11.20034
8, 4, 11.7017
8, 4, 17.16005
8, 4, 7.400816
8, 4, 15.06061
8, 4, 24.4005
8, 4, 6.039999
8, 4, 12.14012
8, 4, 25.60047
8, 4, 12.18105
8, 4, 21.04051
8, 4, 26.58024
16, 4, 7.840559
16, 4, 13.68066
16, 4, 16.60066
16, 4, 19.52107
16, 4, 24.62061
16, 4, 6.460357
16, 4, 8.380034
16, 4, 12.92074
16, 4, 16.88129
16, 4, 21.90055
16, 4, 5.860419
16, 4, 9.081229
16, 4, 20.28176
16, 4, 4.080702
16, 4, 6.340159
16, 4, 14.86047
16, 4, 23.70012
32, 4, 5.640752
32, 4, 8.320207
32, 4, 9.880122
32, 4, 11.80082
32, 4, 14.06008
32, 4, 22.62046
32, 4, 4.86016
32, 4, 14.10058
32, 4, 17.64035
32, 4, 24.94085
32, 4, 6.2811
32, 4, 8.140982
32, 4, 11.90107
32, 4, 18.76085
32, 4, 3.320204
32, 4, 5.940543
32, 4, 9.840609
32, 4, 22.10007
64, 4, 3.340337
64, 4, 4.76017
64, 4, 7.341051
64, 4, 8.681196
64, 4, 10.86099
64, 4, 15.98051
64, 4, 25.24103
64, 4, 2.523067
64, 4, 4.86034
64, 4, 5.609522
64, 4, 6.461291
64, 4, 8.200302
64, 4, 9.26117
64, 4, 11.06131
64, 4, 12.74005
64, 4, 18.76051
64, 4, 3.901172
64, 4, 6.360895
64, 4, 10.5643
64, 4, 11.42049
64, 4, 13.44077
64, 4, 16.92047
64, 4, 19.92073
64, 4, 25.72081
64, 4, 26.94083
64, 4, 5.920988
64, 4, 7.520657
64, 4, 10.34138
64, 4, 15.76035
64, 4, 16.26258
64, 4, 20.76083
64, 4, 21.26186
64, 4, 24.62086
128, 4, 3.920504
128, 4, 5.601125
128, 4, 6.481053
128, 4, 7.355105
128, 4, 10.18045
128, 4, 15.16006
128, 4, 18.88123
128, 4, 21.06159
128, 4, 21.90636
128, 4, 22.98023
128, 4, 3.621631
128, 4, 5.681243
128, 4, 7.421375
128, 4, 8.220392
128, 4, 8.722239
128, 4, 9.222508
128, 4, 10.11018
128, 4, 12.60094
128, 4, 16.70038
128, 4, 18.58081
128, 4, 2.865983
128, 4, 4.780945
128, 4, 5.660878
128, 4, 6.76085
128, 4, 9.921498
128, 4, 11.16052
128, 4, 11.66249
128, 4, 12.53268
128, 4, 13.02319
128, 4, 17.76106
128, 4, 21.56092
128, 4, 23.18121
128, 4, 25.00028
128, 4, 3.380897
128, 4, 4.600801
128, 4, 5.448025
128, 4, 7.140383
128, 4, 8.340099
128, 4, 10.66027
128, 4, 12.30011
128, 4, 14.06075
128, 4, 17.1409
128, 4, 24.34045
256, 4, 3.222173
256, 4, 4.380997
256, 4, 5.862041
256, 4, 7.403716
256, 4, 8.278671
256, 4, 10.27388
256, 4, 11.21173
256, 4, 11.70563
256, 4, 12.72072
256, 4, 13.22348
256, 4, 15.96485
256, 4, 16.46312
256, 4, 17.43534
256, 4, 17.92315
256, 4, 2.871152
256, 4, 3.362812
256, 4, 4.315637
256, 4, 5.219759
256, 4, 6.820323
256, 4, 7.726839
256, 4, 8.707781
256, 4, 9.841758
256, 4, 10.34226
256, 4, 10.84272
256, 4, 11.69663
256, 4, 12.86178
256, 4, 15.34191
256, 4, 3.221846
256, 4, 3.723146
256, 4, 4.590518
256, 4, 6.161152
256, 4, 7.052811
256, 4, 8.240314
256, 4, 11.52164
256, 4, 14.63571
256, 4, 16.96515
256, 4, 19.5967
256, 4, 20.52289
256, 4, 21.02329
256, 4, 3.781638
256, 4, 4.63021
256, 4, 5.96201
256, 4, 6.96076
256, 4, 7.462517
256, 4, 7.962543
256, 4, 9.340658
256, 4, 12.36206
256, 4, 13.58191
256, 4, 18.34095
4, 8, 16.12061
4, 8, 13.74113
4, 8, 16.42033
4, 8, 27.02061
4, 8, 15.8612
4, 8, 8.560102
4, 8, 17.7012
4, 8, 26.12113
4, 16, 10.12087
4, 16, 26.10074
4, 16, 8.501228
4, 16, 12.4806
4, 16, 12.16082
4, 16, 23.78055
4, 16, 8.860994
4, 16, 21.20118
4, 32, 7.420675
4, 32, 23.10072
4, 32, 6.12033
4, 32, 14.78095
4, 32, 24.60036
4, 32, 7.900035
4, 64, 24.12143
4, 64, 9.281237
4, 64, 18.34053
4, 64, 15.74064
4, 64, 21.50022
4, 128, 16.86064
4, 128, 19.12055
4, 128, 23.65565
4, 128, 11.62074
4, 128, 27.2415
4, 128, 23.20079
4, 128, 14.26084
4, 256, 8.92205
4, 256, 27.38038
4, 256, 19.18177
